assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_000180675.1	PRJNA13579	SAMN02981227	AANH00000000.1	representative genome	69293	69293	Gasterosteus aculeatus			latest	Contig	Major	Full	01/02/2006	ASM18067v1		na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/675/GCA_000180675.1_ASM18067v1		
GCA_000475235.3	PRJNA171384	SAMN02981553	AUPR00000000.2	representative genome	72089	72089	Sebastes nigrocinctus			latest	Scaffold	Major	Full	20/12/2016	ASM47523v3	USC	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/475/235/GCA_000475235.3_ASM47523v3		
GCA_000475215.1	PRJNA62009	SAMN02981552	AUPQ00000000.1	representative genome	72099	72099	Sebastes rubrivinctus			latest	Scaffold	Major	Full	22/10/2013	SRub1.0	University of Southern California	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/475/215/GCA_000475215.1_SRub1.0		
GCA_002831465.1	PRJNA402052	SAMN07614989	PIPH00000000.1	na	74940	74940	Oncorhynchus tshawytscha	ecotype=spring/summer-run, interior stream-type genetic lineage	JC-2011-M1	latest	Chromosome	Major	Full	11/12/2017	CHI06	Mathomics and Columbia River Inter-Tribal Fish Commission (CRITFC)	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/831/465/GCA_002831465.1_CHI06		
GCA_002872995.1	PRJNA416144	SAMN07843558	PEKY00000000.1	representative genome	74940	74940	Oncorhynchus tshawytscha		Chilliwack Hatchery Individual DE9421	latest	Chromosome	Major	Full	16/01/2018	Otsh_v1.0	Fisheries and Oceans Canada	GCF_002872995.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/872/995/GCA_002872995.1_Otsh_v1.0		
GCA_001515645.1	PRJNA274017	SAMN03320097	LCYQ00000000.1	representative genome	75366	75366	Sinocyclocheilus grahami		Dianchi	latest	Scaffold	Major	Full	16/12/2015	SAMN03320097.WGS_v1.1	BGI, Shenzhen	GCF_001515645.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/645/GCA_001515645.1_SAMN03320097.WGS_v1.1		
GCA_002224875.1	PRJNA392350	SAMN07337763	NOIK00000000.1	representative genome	75864	75864	Anas zonorhyncha	breed=spot-billed		latest	Scaffold	Major	Full	25/07/2017	ASM222487v1	BGI	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/224/875/GCA_002224875.1_ASM222487v1		
GCA_002109545.1	PRJNA311159	SAMN06347167	MVNR00000000.1	representative genome	80966	80966	Acanthochromis polyacanthus	ecotype=Palm Islands		latest	Scaffold	Major	Full	25/04/2017	ASM210954v1	King Abdullah University of Science and technology	GCF_002109545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/109/545/GCA_002109545.1_ASM210954v1		
GCA_002776465.1	PRJNA407816	SAMN07982614	NXFZ00000000.1	representative genome	80972	80972	Amphiprion ocellaris		DU_AmpOce	latest	Scaffold	Major	Full	16/11/2017	AmpOce1.0	Deakin University	GCF_002776465.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/776/465/GCA_002776465.1_AmpOce1.0		
GCA_000691975.1	PRJNA212869	SAMN02297499	JMFN00000000.1	representative genome	85066	85066	Corvus brachyrhynchos		BGI_N302	latest	Scaffold	Major	Full	02/06/2014	ASM69197v1	BGI	GCF_000691975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/691/975/GCA_000691975.1_ASM69197v1		
GCA_000700825.1	PRJNA227290	SAMN02418978	JNCD00000000.1	representative genome	90988	90988	Pimephales promelas			latest	Scaffold	Major	Full	10/06/2014	FHM_SOAPdenovo	DuPont	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/700/825/GCA_000700825.1_FHM_SOAPdenovo		
GCA_000700965.1	PRJNA227290	SAMN02418978	JNCE00000000.1	na	90988	90988	Pimephales promelas			latest	Scaffold	Major	Full	11/06/2014	FHM_SGA	DuPont	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/700/965/GCA_000700965.1_FHM_SGA		
GCA_000511605.2	PRJDB1146	SAMD00009971	BASJ00000000.2	na	93934	93934	Coturnix japonica	strain=L		latest	Scaffold	Major	Full	29/06/2016	Coja_2.0a	Tokyo University of Agriculture	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/511/605/GCA_000511605.2_Coja_2.0a		
GCA_001577835.1	PRJNA292031	SAMN03989050	LSZS00000000.1	representative genome	93934	93934	Coturnix japonica		7356	latest	Chromosome	Major	Full	01/03/2016	Coturnix japonica 2.0	McDonnell Genome Institute - Washington University School of Medicine	GCF_001577835.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/577/835/GCA_001577835.1_Coturnix_japonica_2.0		
GCA_001698575.1	PRJNA305960	SAMN04335856	MBDK00000000.1	representative genome	94237	94237	Mola mola		MOLMO	latest	Scaffold	Major	Full	08/08/2016	ASM169857v1	BGI-shenzhen	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/698/575/GCA_001698575.1_ASM169857v1		
GCA_000705375.2	PRJNA212876	SAMN02316659	JMFW00000000.2	representative genome	94827	94827	Tinamus guttatus		BGI_N309	latest	Scaffold	Major	Full	05/08/2014	ASM70537v2	BGI	GCF_000705375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/705/375/GCA_000705375.2_ASM70537v2		
GCA_000775435.1	PRJNA172383	SAMN03102901	JRWT00000000.1	na	94835	94835	Gavialis gangeticus		Ggan-Ray	latest	Scaffold	Major	Full	14/11/2014	ggan_v0.2	The International Crocodilian Genomes Working Group	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/775/435/GCA_000775435.1_ggan_v0.2		
GCA_001723915.1	PRJNA172383	SAMN03102901	MDVQ00000000.1	representative genome	94835	94835	Gavialis gangeticus		Ggan-Ray	latest	Scaffold	Major	Full	13/09/2016	GavGan_comp1	The International Crocodilian Genomes Working Group	GCF_001723915.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/723/915/GCA_001723915.1_GavGan_comp1		
GCA_001185365.1	PRJNA268069	SAMN03202658	JTLQ00000000.1	representative genome	94885	94885	Pantherophis guttatus		motley	latest	Scaffold	Major	Full	21/07/2015	PanGut1.0	University of Geneva	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/185/365/GCA_001185365.1_PanGut1.0		
GCA_000687285.1	PRJNA212902	SAMN02339888	JJRF00000000.1	representative genome	97097	97097	Phaethon lepturus		BGI_N335	latest	Scaffold	Major	Full	08/05/2014	ASM68728v1	BGI	GCF_000687285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/687/285/GCA_000687285.1_ASM68728v1		
GCA_000180735.1	PRJNA12350	SAMEA3138311	CAAE00000000.1	representative genome	99883	99883	Tetraodon nigroviridis			latest	Scaffold	Major	Full	14/05/2004	ASM18073v1	Genoscope	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/735/GCA_000180735.1_ASM18073v1		
GCA_900067755.1	PRJEB5206	SAMEA2300447	CEMB00000000.1	representative genome	103695	103695	Pogona vitticeps			latest	Scaffold	Major	Full	28/02/2017	pvi1.1	BRAEMBL	GCF_900067755.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/067/755/GCA_900067755.1_pvi1.1		
GCA_001527695.3	PRJDB4386	SAMD00043515	BCNE00000000.2	representative genome	103944	103944	Protobothrops mucrosquamatus		PMUCROS	latest	Scaffold	Minor	Full	22/01/2016	P.Mucros_1.0	Okinawa Institute of Science and Technology	GCF_001527695.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/527/695/GCA_001527695.3_P.Mucros_1.0		
GCA_000182035.2	PRJNA29535	SAMN00000222	ABLO00000000.2	na	105023	105023	Nothobranchius furzeri	strain=GRZ		latest	Scaffold	Major	Partial	16/12/2015	ASM18203v2	Dept. of Genome Analysis	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/035/GCA_000182035.2_ASM18203v2		
GCA_000182215.1	PRJNA33315	SAMN02981240	ACCZ00000000.1	na	105023	105023	Nothobranchius furzeri	strain=MZM-0403		latest	Scaffold	Major	Partial	17/03/2009	ASM18221v1	Leibniz Institute for Age Research - Fritz Lipmann Institute, Jena, Germany	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/215/GCA_000182215.1_ASM18221v1		
GCA_000878545.1	PRJNA221357	SAMN02750843	JNBZ00000000.1	na	105023	105023	Nothobranchius furzeri	breed=GRZ	7	latest	Scaffold	Major	Full	20/02/2015	NotFur1	Stanford University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/878/545/GCA_000878545.1_NotFur1		
GCA_001465895.2	PRJEB5837	SAMEA2698544	CCSH00000000.1	representative genome	105023	105023	Nothobranchius furzeri	strain=GRZ		latest	Chromosome	Major	Full	11/12/2015	Nfu_20140520	LEIBNIZ INSTITUTE FOR AGE RESEARCH - FRITZ LIPMANN	GCF_001465895.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/465/895/GCA_001465895.2_Nfu_20140520		
GCA_000150915.1	PRJNA29483	SAMN02743804	ABPM00000000.1	na	106582	106582	Maylandia zebra	strain=Mazinzi Reef		latest	Scaffold	Major	Partial	09/07/2008	ASM15091v1	Cichlid Genome Consortium	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/915/GCA_000150915.1_ASM15091v1		
GCA_000238955.5	PRJNA60369	SAMN03892560	AGTA00000000.5	representative genome	106582	106582	Maylandia zebra	ecotype=Mazinzi reef	#2_Kocher and #3_Kocher	latest	Chromosome	Major	Full	10/04/2018	M_zebra_UMD2a	Broad Institute	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/238/955/GCA_000238955.5_M_zebra_UMD2a		
GCA_001891065.1	PRJNA314292	SAMN04531611	LVHJ00000000.1	representative genome	109280	109280	Hippocampus comes		QL1	latest	Scaffold	Major	Full	08/12/2016	H_comes_QL1_v1	South China Sea Institute of Oceanology, Chinese Academy of Sciences	GCF_001891065.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/891/065/GCA_001891065.1_H_comes_QL1_v1		
GCA_001746935.1	PRJNA325157	SAMN05224218	MDLI00000000.1	representative genome	1037456	111975	Setophaga coronata coronata		EE26A12	latest	Scaffold	Major	Full	27/09/2016	mywagenomev1.1	Cornell University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/746/935/GCA_001746935.1_mywagenomev1.1		
GCA_001005745.2	PRJNA232741	SAMN02592717	JARO00000000.2	na	113540	113540	Scleropages formosus		aro1	latest	Scaffold	Major	Full	13/10/2015	aro_v2	Monash University Malaysia	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/005/745/GCA_001005745.2_aro_v2		
GCA_001624245.1	PRJNA290061	SAMN03894453	LGSE00000000.1	na	113540	113540	Scleropages formosus	breed=green arowana		latest	Scaffold	Major	Full	20/04/2016	ASM162424v1	BGI-SZ	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/624/245/GCA_001624245.1_ASM162424v1		
GCA_001624255.1	PRJNA290062	SAMN03894452	LGSF00000000.1	na	113540	113540	Scleropages formosus	breed=red arowana		latest	Scaffold	Major	Full	20/04/2016	ASM162425v1	BGI-SZ	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/624/255/GCA_001624255.1_ASM162425v1		
GCA_001624265.1	PRJNA290065	SAMN03894411	LGSG00000000.1	representative genome	113540	113540	Scleropages formosus	breed=golden arowana		latest	Scaffold	Major	Full	20/04/2016	ASM162426v1	BGI-SZ	GCF_001624265.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/624/265/GCA_001624265.1_ASM162426v1		
GCA_000699005.1	PRJNA212874	SAMN02314405	JJRU00000000.1	representative genome	118200	118200	Picoides pubescens		BGI_N307	latest	Scaffold	Major	Full	06/06/2014	ASM69900v1	BGI	GCF_000699005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/699/005/GCA_000699005.1_ASM69900v1		
GCA_000709365.1	PRJNA212908	SAMN02339893	JNOY00000000.1	representative genome	121530	121530	Tauraco erythrolophus		BGI_N340	latest	Scaffold	Major	Full	25/06/2014	ASM70936v1	BGI	GCF_000709365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/709/365/GCA_000709365.1_ASM70936v1		
GCA_000935625.1	PRJNA243398	SAMN02720813	JYOU00000000.1	representative genome	125878	125878	Nanorana parkeri		BGI_ZX_2015	latest	Scaffold	Major	Full	02/03/2015	ASM93562v1	BGI-Shenzhen	GCF_000935625.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/935/625/GCA_000935625.1_ASM93562v1		
GCA_000708225.1	PRJNA232572	SAMN02596464	JMFH00000000.1	representative genome	128390	128390	Nipponia nippon		BGI_Y956	latest	Scaffold	Major	Full	16/06/2014	ASM70822v1	College of Medicine and Forensics, Xi'an Jiaotong University	GCF_000708225.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/708/225/GCA_000708225.1_ASM70822v1		
GCA_002592135.1	PRJNA404647	SAMN07629812	NXHY00000000.1	representative genome	132585	132585	Anser brachyrhynchus	strain=PFG001		latest	Scaffold	Major	Full	19/10/2017	ASM259213v1	Aarhus University, Denmark	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/592/135/GCA_002592135.1_ASM259213v1		
GCA_002120245.1	PRJNA290988	SAMN03938494	LKNJ00000000.1	representative genome	135761	135761	Maccullochella peelii		KMC200	latest	Scaffold	Major	Full	09/05/2017	mcod_v1	Monash University Malaysia	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/120/245/GCA_002120245.1_mcod_v1		
GCA_002897255.1	PRJDB5593	SAMD00076252	BDUH00000000.1	representative genome	143350	143350	Pagrus major			latest	Scaffold	Major	Full	28/12/2017	Pmaj_1.0	Center for Marine Environmental Studies, Ehime University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/897/255/GCA_002897255.1_Pmaj_1.0		
GCA_000690725.1	PRJNA89147	SAMN02743342	JMKM00000000.1	representative genome	144197	144197	Stegastes partitus		25-593	latest	Scaffold	Major	Full	13/05/2014	Stegastes_partitus-1.0.2	Aquatic Genome Models	GCF_000690725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/690/725/GCA_000690725.1_Stegastes_partitus-1.0.2		
GCA_001447785.1	PRJNA298277	SAMN04157958	LNDG00000000.1	representative genome	146911	146911	Gekko japonicus		JY-2015	latest	Scaffold	Major	Full	25/11/2015	Gekko_japonicus_V1.1	Nantong University	GCF_001447785.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/785/GCA_001447785.1_Gekko_japonicus_V1.1		
GCA_000788275.1	PRJNA232434	SAMN03201692	JACK00000000.1	representative genome	150288	150288	Boleophthalmus pectinirostris			latest	Scaffold	Major	Full	02/12/2014	BP.fa	BGI-shenzhen	GCF_000788275.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/788/275/GCA_000788275.1_BP.fa		
GCA_900092035.1	PRJEB12292	SAMEA3723233	FLSR00000000.1	representative genome	155063	155063	Leuciscus waleckii			latest	Scaffold	Major	Full	28/06/2016	Amur ide genome	CHINESE ACADEMY OF FISHERY SCIENCE	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/092/035/GCA_900092035.1_Amur_ide_genome		
GCA_002901205.1	PRJNA284903	SAMN03734925	PDCF00000000.1	representative genome	156563	156563	Cyanistes caeruleus		BT333_1	latest	Scaffold	Major	Full	26/01/2018	cyaCae2	Dr. Bernd Tmmermann, NGS core facility, MPI Molecular Genetics	GCF_002901205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/901/205/GCA_002901205.1_cyaCae2		
GCA_002844005.1	PRJNA321163	SAMN05417616	LXVZ00000000.1	representative genome	1758121	161683	Limosa lapponica baueri		BTGAFAM01	latest	Scaffold	Major	Full	15/12/2017	Godwit_v1	Universidade Federal do Rio de Janeiro	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/844/005/GCA_002844005.1_Godwit_v1		
GCA_003047355.1	PRJNA436093	SAMN08615572	PYAM00000000.1	representative genome	161767	161767	Amphiprion percula		AP_NGBR_F1_2018	latest	Chromosome	Major	Full	16/04/2018	Nemo_v1	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/047/355/GCA_003047355.1_Nemo_v1		
GCA_002895965.1	PRJNA417902	SAMN08010939	PIJE00000000.1	representative genome	163118	163118	Coryphaenoides rupestris	ecotype=Mid-Atlantic Ridge	MGRH-2017	latest	Scaffold	Major	Full	23/01/2018	ASM289596v1	Molecular Ecology Group, Department of Biosciences, Durham University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/895/965/GCA_002895965.1_ASM289596v1		
GCA_000150935.1	PRJNA29485	SAMN02743805	ABPN00000000.1	representative genome	163638	163638	Rhamphochromis esox	strain=Otter Point		latest	Scaffold	Major	Full	09/07/2008	ASM15093v1	Cichlid Genome Consortium	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/935/GCA_000150935.1_ASM15093v1		
GCA_000787155.1	PRJNA232437	SAMN03201693	JACN00000000.1	representative genome	166764	166764	Scartelaos histophorus			latest	Scaffold	Major	Full	02/12/2014	SH.fa	BGI-shenzhen	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/787/155/GCA_000787155.1_SH.fa		
GCA_002819105.1	PRJNA354496	SAMN06339785	MWVA00000000.1	representative genome	171736	171736	Symphodus melops		Skagerak	latest	Contig	Major	Full	05/12/2017	ASM281910v1	University of Agder	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/819/105/GCA_002819105.1_ASM281910v1		
GCA_002994505.1	PRJNA434264	SAMN08545647	PVUN00000000.1	representative genome	173321	173321	Seriola rivoliana		HWSR04	latest	Scaffold	Major	Full	12/03/2018	ASM299450v1	Iowa State University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/994/505/GCA_002994505.1_ASM299450v1		
GCA_000710305.1	PRJNA212887	SAMN02318191	JMFK00000000.1	representative genome	175836	175835	Buceros rhinoceros silvestris		BGI_N320	latest	Scaffold	Major	Full	25/06/2014	ASM71030v1	BGI	GCF_000710305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/710/305/GCA_000710305.1_ASM71030v1		
GCA_000400545.1	PRJNA175470	SAMN02981465	AMXX00000000.1	na	176014	176014	Ara macao			latest	Contig	Major	Full	20/05/2013	SMACv1.0	Texas A&M University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/400/545/GCA_000400545.1_SMACv1.0		
GCA_000400695.1	PRJNA189648	SAMN03000706	AOUJ00000000.1	representative genome	176014	176014	Ara macao			latest	Scaffold	Major	Full	26/06/2013	SMACv1.1	Texas A&M University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/400/695/GCA_000400695.1_SMACv1.1		
GCA_000696875.1	PRJNA212900	SAMN02339299	JJRH00000000.1	representative genome	176057	176057	Nestor notabilis		BGI_N333	latest	Scaffold	Major	Full	05/06/2014	ASM69687v1	BGI	GCF_000696875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/696/875/GCA_000696875.1_ASM69687v1		
GCA_000186305.2	PRJNA61243	SAMN02981298	AEQU00000000.2	representative genome	176946	176946	Python bivittatus			latest	Scaffold	Major	Full	15/09/2013	Python_molurus_bivittatus-5.0.2	The Consortium for Comparative Genomics, UC Denver	GCF_000186305.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/305/GCA_000186305.2_Python_molurus_bivittatus-5.0.2		
GCA_000738735.2	PRJNA192205	SAMN02143031	JPSR00000000.2	representative genome	932674	181096	Corvus cornix cornix		S_Up_H32	latest	Scaffold	Major	Full	08/03/2017	ASM73873v2	Uppsala University	GCF_000738735.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/738/735/GCA_000738735.2_ASM73873v2		
GCA_002023255.2	PRJNA358092	SAMN02143031	MVNZ00000000.2	na	932674	181096	Corvus cornix cornix		S_Up_H32	latest	Scaffold	Major	Full	25/04/2017	ASM202325v2	Uppsala University, Evolutionary Biology Centre	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/023/255/GCA_002023255.2_ASM202325v2		
GCA_000331425.1	PRJNA175930	SAMN02981490	ANZD00000000.1	representative genome	181119	181119	Pseudopodoces humilis			latest	Scaffold	Major	Full	11/01/2013	PseHum1.0	Beijing Genomics Institute (BGI)-Shenzhen	GCF_000331425.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/425/GCA_000331425.1_PseHum1.0		
GCA_000695195.1	PRJNA212891	SAMN02324157	JMFJ00000000.1	representative genome	187382	187382	Chlamydotis macqueenii		BGI_N324	latest	Scaffold	Major	Full	02/06/2014	ASM69519v1	BGI	GCF_000695195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/695/195/GCA_000695195.1_ASM69519v1		
GCA_000691785.1	PRJNA212897	SAMN02333687	JJRK00000000.1	representative genome	188344	188344	Leptosomus discolor		BGI_N330	latest	Scaffold	Major	Full	23/05/2014	ASM69178v1	BGI	GCF_000691785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/691/785/GCA_000691785.1_ASM69178v1		
GCA_000687185.1	PRJNA232959	SAMN02596466	JJRC00000000.1	representative genome	188379	188379	Egretta garzetta		BGI_Z169	latest	Scaffold	Major	Full	09/05/2014	ASM68718v1	College of Medicine and Forensics, Xi'an Jiaotong University	GCF_000687185.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/687/185/GCA_000687185.1_ASM68718v1		
GCA_001431845.1	PRJNA281024	SAMN03491621	LDEH00000000.1	representative genome	198806	198806	Calidris pugnax		Ruff	latest	Scaffold	Major	Full	04/11/2015	ASM143184v1	BGI	GCF_001431845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/431/845/GCA_001431845.1_ASM143184v1		
GCA_001458055.1	PRJEB11427	SAMEA3535133	CZLE00000000.1	na	198806	198806	Calidris pugnax			latest	Scaffold	Major	Full	06/11/2015	ruff_EG1	ED	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/458/055/GCA_001458055.1_ruff_EG1		
GCA_001910785.2	PRJNA236323	SAMN03579458	LCWK000000000.1	representative genome	201708	201708	Sebastes steindachneri		S-Stein-200	latest	Scaffold	Major	Full	20/12/2016	ASM191078v2	USC	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/910/785/GCA_001910785.2_ASM191078v2		
GCA_002372975.1	PRJNA338167	SAMN05525316	NIFN00000000.1	representative genome	311401	201991	Strix occidentalis caurina		Sequoia	latest	Scaffold	Major	Full	26/09/2017	Soccid_v01	California Academy of Sciences	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/372/975/GCA_002372975.1_Soccid_v01		
GCA_000697985.1	PRJNA240272	SAMN02699082	JHEK00000000.1	representative genome	206143	206143	Pampus argenteus	breed=wild-type	Kuwaiti	latest	Scaffold	Major	Full	03/06/2014	PamArg1.0	Kuwait Institute for Scientific Research (KISR)	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/697/985/GCA_000697985.1_PamArg1.0		
GCA_001910765.2	PRJNA236304	SAMN03354192	LHCJ00000000.1	representative genome	214483	214483	Sebastes minor		S-Minor-200	latest	Scaffold	Major	Full	20/12/2016	ASM191076v2	USC	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/910/765/GCA_001910765.2_ASM191076v2		
GCA_001910805.2	PRJNA229179	SAMN03964772	LHVS00000000.1	representative genome	214485	214485	Sebastes aleutianus		Aleu4	latest	Scaffold	Major	Full	20/12/2016	ASM191080v2	USC	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/910/805/GCA_001910805.2_ASM191080v2		
GCA_000742935.1	PRJNA237858	SAMN02630636	JPYK00000000.1	na	215358	215358	Larimichthys crocea	breed=Donghai	lyc2010zjou1	latest	Scaffold	Major	Full	22/08/2014	ASM74293v1	Zhejiang Ocean University	GCF_000742935.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/742/935/GCA_000742935.1_ASM74293v1		
GCA_000972845.1	PRJNA245366	SAMN03092871	JRPU00000000.1	representative genome	215358	215358	Larimichthys crocea		SSNF	latest	Scaffold	Major	Full	21/04/2015	L_crocea_1.0	BGI	GCF_000972845.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/972/845/GCA_000972845.1_L_crocea_1.0		
GCA_900246015.1	PRJEB24300	SAMEA104455074	OFHX00000000.1	na	215358	215358	Larimichthys crocea			latest	Chromosome	Major	Full	18/01/2018	Larimichthys_crocea_chromosome_1.0	JIMEI UNIVERSITY	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/246/015/GCA_900246015.1_Larimichthys_crocea_chromosome_1.0		
GCA_002592385.1	PRJNA398142	SAMN07502010	NRCI00000000.1	representative genome	225391	225391	Micropterus floridanus		GALMBF000	latest	Contig	Major	Full	19/10/2017	ASM259238v1	Auburn University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/592/385/GCA_002592385.1_ASM259238v1		
GCA_000499045.1	PRJNA202249	SAMN02144194	AWGY00000000.1	representative genome	229290	229290	Anoplopoma fimbria			latest	Contig	Major	Full	25/11/2013	AnoFim1.0	University of Victoria	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/045/GCA_000499045.1_AnoFim1.0		
GCA_900205225.1	PRJEB19453	SAMEA94256668	OAMK00000000.1	representative genome	1187130	230657	Saxicola maurus maurus			latest	Scaffold	Major	Full	28/09/2017	Saxicola_maurus.2	UNIVERSITY OF OXFORD	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/205/225/GCA_900205225.1_Saxicola_maurus.2		
GCA_001593715.1	PRJNA272995	SAMN02486174	JXSJ00000000.1	representative genome	240162	240162	Miichthys miiuy			latest	Scaffold	Major	Full	17/03/2016	ASM159371v1	Zhejiang Ocean University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/715/GCA_001593715.1_ASM159371v1		
GCA_000699245.1	PRJNA212906	SAMN02339892	JMFR00000000.1	representative genome	240206	240206	Pterocles gutturalis		BGI_N339	latest	Scaffold	Major	Full	09/06/2014	ASM69924v1	BGI	GCF_000699245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/699/245/GCA_000699245.1_ASM69924v1		
