#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Lepisosteus oculatus	7918	PRJNA68247	68247	Animals	Fishes	945.878	40.4083	GCA_000242695.1	linkage group LG1:NC_023179.1/CM001404.1; linkage group LG2:NC_023180.1/CM001405.1; linkage group LG3:NC_023181.1/CM001406.1; linkage group LG4:NC_023182.1/CM001407.1; linkage group LG5:NC_023183.1/CM001408.1; linkage group LG6:NC_023184.1/CM001409.1; linkage group LG7:NC_023185.1/CM001410.1; linkage group LG8:NC_023186.1/CM001411.1; linkage group LG9:NC_023187.1/CM001412.1; linkage group LG10:NC_023188.1/CM001413.1; linkage group LG11:NC_023189.1/CM001414.1; linkage group LG12:NC_023190.1/CM001415.1; linkage group LG13:NC_023191.1/CM001416.1; linkage group LG14:NC_023192.1/CM001417.1; linkage group LG15:NC_023193.1/CM001418.1; linkage group LG16:NC_023194.1/CM001419.1; linkage group LG17:NC_023195.1/CM001420.1; linkage group LG18:NC_023196.1/CM001421.1; linkage group LG19:NC_023197.1/CM001422.1; linkage group LG20:NC_023198.1/CM001423.1; linkage group LG21:NC_023199.1/CM001424.1; linkage group LG22:NC_023200.1/CM001425.1; linkage group LG23:NC_023201.1/CM001426.1; linkage group LG24:NC_023202.1/CM001427.1; linkage group LG25:NC_023203.1/CM001428.1; linkage group LG26:NC_023204.1/CM001429.1; linkage group LG27:NC_023205.1/CM001430.1; linkage group LG28:NC_023206.1/CM001431.1; linkage group LG29:NC_023207.1/CM001432.1; mitochondrion MT:NC_004744.1/AB042861.1	AHAT01	2106	21770	41647	2011/12/16	2013/11/01	Chromosome	Broad Institute	SAMN00706774
Pan paniscus	9597	PRJNA49285	49285	Animals	Mammals	3286.64	42.3185	GCA_000258655.2	chromosome 1:NC_027868.1/CM003383.1; chromosome 2A:NC_027869.1/CM003384.1; chromosome 2B:NC_027870.1/CM003385.1; chromosome 3:NC_027871.1/CM003386.1; chromosome 4:NC_027872.1/CM003387.1; chromosome 5:NC_027873.1/CM003388.1; chromosome 6:NC_027874.1/CM003389.1; chromosome 7:NC_027875.1/CM003390.1; chromosome 8:NC_027876.1/CM003391.1; chromosome 9:NC_027877.1/CM003392.1; chromosome 10:NC_027878.1/CM003393.1; chromosome 11:NC_027879.1/CM003394.1; chromosome 12:NC_027880.1/CM003395.1; chromosome 13:NC_027881.1/CM003396.1; chromosome 14:NC_027882.1/CM003397.1; chromosome 15:NC_027883.1/CM003398.1; chromosome 16:NC_027884.1/CM003399.1; chromosome 17:NC_027885.1/CM003400.1; chromosome 18:NC_027886.1/CM003401.1; chromosome 19:NC_027887.1/CM003402.1; chromosome 20:NC_027888.1/CM003403.1; chromosome 21:NC_027889.1/CM003404.1; chromosome 22:NC_027890.1/CM003405.1; chromosome X:NC_027891.1/CM003406.1; mitochondrion MT:NC_001644.1/D38116.1; mitochondrion MT:KT153251.1	AJFE02	10984	29962	47451	2012/03/30	2015/08/18	Chromosome	Max-Planck Institute for Evolutionary Anthropology	SAMEA1029457
Notothenia coriiceps	8208	PRJNA66471	66471	Animals	Fishes	636.614	40.8002	GCA_000735185.1	mitochondrion MT:NC_015653.1/JF933906.1	AZAD01	38657	26863	32182	2014/07/28	2014/10/22	Scaffold	Antarctic Fish Genome Project	SAMN02206445
Pantholops hodgsonii	59538	PRJNA72465	72465	Animals	Mammals	2696.89	42.4	GCA_000400835.1	mitochondrion MT:NC_007441.1/DQ191826.1	AGTT01	15059	31808	32279	2013/05/21	2013/11/01	Scaffold	BGI	SAMN00990743
Melopsittacus undulatus	13146	PRJNA197262	197262	Animals	Birds	1117.37	41.4001	GCA_000238935.1	mitochondrion MT:NC_009134.1/EF450826.1	AGAI01	25212	14536	17079	2011/11/28	2014/08/11	Scaffold	NCBI	SAMN02981360
Jaculus jaculus	51337	PRJNA72445	72445	Animals	Mammals	2835.25	42.7	GCA_000280705.1	mitochondrion MT:NC_005314.1/AJ416890.1	AKZC01	10898	25275	25473	2012/07/20	2013/11/01	Scaffold	Broad Institute	SAMN00728442
Balaenoptera acutorostrata scammoni	310752	PRJNA72723	72723	Animals	Mammals	2431.69	41.4	GCA_000493695.1	mitochondrion MT:NC_005271.1/AJ554054.1	ATDI01	10776	26861	34821	2013/10/31	2014/01/09	Scaffold	Korea Ocean Research & Development Institute	SAMN02192642
Cervus elaphus hippelaphus	46360	PRJNA324173	324173	Animals	Mammals	3438.62	44.8578	GCA_002197005.1	chromosome 1:CM008008.1; chromosome 2:CM008009.1; chromosome 3:CM008010.1; chromosome 4:CM008011.1; chromosome 5:CM008012.1; chromosome 6:CM008013.1; chromosome 7:CM008014.1; chromosome 8:CM008015.1; chromosome 9:CM008016.1; chromosome 10:CM008017.1; chromosome 11:CM008018.1; chromosome 12:CM008019.1; chromosome 13:CM008020.1; chromosome 14:CM008021.1; chromosome 15:CM008022.1; chromosome 16:CM008023.1; chromosome 17:CM008024.1; chromosome 18:CM008025.1; chromosome 19:CM008026.1; chromosome 20:CM008027.1; chromosome 21:CM008028.1; chromosome 22:CM008029.1; chromosome 23:CM008030.1; chromosome 24:CM008031.1; chromosome 25:CM008032.1; chromosome 26:CM008033.1; chromosome 27:CM008034.1; chromosome 28:CM008035.1; chromosome 29:CM008036.1; chromosome 30:CM008037.1; chromosome 31:CM008038.1; chromosome 32:CM008039.1; chromosome 33:CM008040.1; chromosome X:CM008041.1; chromosome Y:CM008042.1	MKHE01	11479	22846	19243	2017/06/16	2017/06/19	Chromosome	National Agricultural Research and Innovation Centre	SAMN05196248
Ailurus fulgens styani	424585	PRJNA298932	298932	Animals	Mammals	2342.94	-	GCA_002007465.1	-	LNAC01	11589	-	-	2017/02/28	2017/02/28	Scaffold	Institute of Zoology, Chinese Academy of Sciences	SAMN04169031
Panthera tigris altaica	74533	PRJNA236771	236771	Animals	Mammals	2391.08	41.5	GCA_000464555.1	mitochondrion MT:NC_010642.1/EF551003.1	ATCQ01	1479	25041	29473	2013/09/05	2013/09/27	Scaffold	NCBI	SAMN02086964
Microtus ochrogaster	79684	PRJNA72443	72443	Animals	Mammals	2287.34	42.8312	GCA_000317375.1	chromosome 1:NC_022009.1/CM001672.1; chromosome 2:NC_022010.1/CM001673.1; chromosome 4:NC_022011.1/CM001674.1; chromosome 5:NC_022012.1/CM001675.1; chromosome 6:NC_022013.1/CM001676.1; chromosome 7:NC_022014.1/CM001677.1; chromosome 8:NC_022015.1/CM001678.1; chromosome 10:NC_022016.1/CM001679.1; chromosome 15:NC_022017.1/CM001680.1; chromosome 16:NC_022018.1/CM001681.1; chromosome 17:NC_022019.1/CM001682.1; chromosome 18:NC_022020.1/CM001683.1; chromosome 19:NC_022021.1/CM001684.1; chromosome 21:NC_022022.1/CM001685.1; chromosome 22:NC_022023.1/CM001686.1; chromosome 24:NC_022024.1/CM001687.1; chromosome 26:NC_022025.1/CM001688.1; chromosome X:NC_022026.1/CM001689.1; linkage group LG1:NC_022027.1/CM001690.1; linkage group LG2:NC_022028.1/CM001691.1; linkage group LG3:NC_022029.1/CM001692.1; linkage group LG4:NC_022030.1/CM001693.1; linkage group LG5:NC_022031.1/CM001694.1; linkage group LG7_11:NC_022032.1/CM001695.1; linkage group LG8:NC_022033.1/CM001696.1; linkage group LG9:NC_022034.1/CM001697.1; linkage group LG10:NC_022035.1/CM001698.1; linkage group LG12:NC_022036.1/CM001699.1	AHZW01	6450	24260	30752	2012/12/03	2013/11/01	Chromosome	Broad Institute	SAMN00727831
Condylura cristata	143302	PRJNA72447	72447	Animals	Mammals	1769.66	41.9	GCA_000260355.1	-	AJFV01	2040	20019	29166	2012/04/20	2013/11/01	Scaffold	Broad Institute	SAMN00727830
Apteryx australis mantelli	202946	PRJEB6383	287231	Animals	Birds	1523.97	42.5	GCA_001039765.1	-	-	24720	18494	22793	-	-	Scaffold	MPI-EVA	SAMEA2560515
Rhinolophus ferrumequinum	59479	PRJNA209409	209409	Animals	Mammals	1926.44	40.6	GCA_000465495.1	-	AWHA01	160500	-	-	2013/09/05	2013/09/15	Scaffold	School of Biological & Chemical Sciences, Queen Mary University of London	SAMN02213056
Serinus canaria	9135	PRJEB1766	233592	Animals	Birds	1152.1	42.6	GCA_000534875.1	mitochondrion MT:NC_023375.1/HF969008.1	CAVT01	304400	17797	29964	2014/01/06	2015/01/30	Scaffold	MPI MOLGEN	SAMEA3138919
Peromyscus maniculatus bairdii	230844	PRJNA53563	53563	Animals	Mammals	2630.54	42.7	GCA_000500345.1	-	AYHN01	30921	28479	45588	2013/11/26	2013/12/03	Scaffold	Baylor College of Medicine	SAMN00848614
Sebastes rubrivinctus	72099	PRJNA62009	62009	Animals	Fishes	756.297	40.7	GCA_000475215.1	-	AUPQ01	68206	-	-	2013/10/18	2014/08/11	Scaffold	University of Southern California	SAMN02981552
Eptesicus fuscus	29078	PRJNA232522	232522	Animals	Mammals	2026.63	43.5	GCA_000308155.1	-	ALEH01	6789	22627	24147	2012/07/30	2013/11/01	Scaffold	NCBI	SAMN00767986
Cynoglossus semilaevis	244447	PRJNA251742	251742	Animals	Fishes	470.199	41.2788	GCA_000523025.1	chromosome 1:NC_024307.1/CM002373.1; chromosome 2:NC_024308.1/CM002374.1; chromosome 3:NC_024309.1/CM002375.1; chromosome 4:NC_024310.1/CM002376.1; chromosome 5:NC_024311.1/CM002377.1; chromosome 6:NC_024312.1/CM002378.1; chromosome 7:NC_024313.1/CM002379.1; chromosome 8:NC_024314.1/CM002380.1; chromosome 9:NC_024315.1/CM002381.1; chromosome 10:NC_024316.1/CM002382.1; chromosome 11:NC_024317.1/CM002383.1; chromosome 12:NC_024318.1/CM002384.1; chromosome 13:NC_024319.1/CM002385.1; chromosome 14:NC_024320.1/CM002386.1; chromosome 15:NC_024321.1/CM002387.1; chromosome 16:NC_024322.1/CM002388.1; chromosome 17:NC_024323.1/CM002389.1; chromosome 18:NC_024324.1/CM002390.1; chromosome 19:NC_024325.1/CM002391.1; chromosome 20:NC_024326.1/CM002392.1; chromosome W:NC_024327.1/CM002393.1; chromosome Z:NC_024328.1/CM002394.1; mitochondrion MT:NC_012825.1/EU366230.1	AGRG01	31181	24279	36992	2014/01/24	2014/01/28	Chromosome	NCBI	SAMN02595200
Orycteropus afer afer	1230840	PRJNA74587	74587	Animals	Mammals	4444.08	42.0995	GCA_000298275.1	mitochondrion MT:NC_002078.1/Y18475.1	ALYB01	22509	22908	25544	2012/09/17	2013/11/01	Scaffold	Broad Institute	SAMN00744890
Chrysochloris asiatica	185453	PRJNA74591	74591	Animals	Mammals	4210.11	41.8	GCA_000296735.1	mitochondrion MT:NC_004920.1/AB096866.1	AMDV01	20500	32357	25227	2012/09/10	2013/11/01	Scaffold	Broad Institute	SAMN00744889
Elephantulus edwardii	28737	PRJNA74589	74589	Animals	Mammals	3843.98	41.5	GCA_000299155.1	-	AMGZ01	8768	34709	25209	2012/09/20	2013/11/01	Scaffold	Broad Institute	SAMN00749966
Octodon degus	10160	PRJNA74595	74595	Animals	Mammals	2995.89	42.5	GCA_000260255.1	mitochondrion MT:NC_020661.1/HM544134.1	AJSA01	7135	34039	27336	2012/04/19	2013/11/01	Scaffold	Broad Institute	SAMN00769067
Camelus ferus	419612	PRJNA76177	76177	Animals	Mammals	2009.19	41.3	GCA_000311805.2	mitochondrion MT:NC_009629.2/EF212038.2	AGVR01	13334	24722	31796	2012/11/08	2013/11/06	Scaffold	The Bactrian Camels Genome Sequencing and Analysis Consortium	SAMN01910617
Boleophthalmus pectinirostris	150288	PRJNA384419	384419	Animals	Fishes	955.752	40.1001	GCA_000788275.1	mitochondrion MT:NC_016195.1/JN631352.1	JACK01	16620	22665	25161	2014/11/25	2014/12/03	Scaffold	NCBI	SAMN03201692
Mesocricetus auratus	10036	PRJNA77669	77669	Animals	Mammals	2504.93	43.2	GCA_000349665.1	mitochondrion MT:NC_013276.1/EU660218.1	APMT01	21484	27367	36852	2013/03/28	2013/03/29	Scaffold	Broad Institute	SAMN00769068
Pteropus alecto	9402	PRJNA232518	232518	Animals	Mammals	1985.98	39.9	GCA_000325575.1	mitochondrion MT:NC_023122.1/KF726143.1	ALWS01	65598	22140	33106	2012/12/17	2013/11/06	Scaffold	NCBI	SAMN01103203
Seriola dumerili	41447	PRJDB5856	397287	Animals	Fishes	677.686	40.9002	GCA_002260705.1	mitochondrion MT:NC_016870.1/AB517558.1	BDQW01	34656	24086	32734	2017/08/04	2017/08/04	Scaffold	Genomic breeding group, Research Center for Aquatic Breeding, National Research Institute of aquaculture, FRA	SAMD00083043
Nannospalax galili	1026970	PRJNA254049	254049	Animals	Mammals	3061.42	41.6	GCA_000622305.1	mitochondrion MT:NC_020754.1/JN571133.1	AXCS01	154976	27848	38552	2014/04/04	2014/06/05	Scaffold	NCBI	SAMN02299330
Anoplopoma fimbria	229290	PRJNA202249	202249	Animals	Fishes	699.326	40.3	GCA_000499045.1	-	AWGY01	208506	-	-	2013/11/25	2013/11/25	Contig	University of Victoria	SAMN02144194
Mus spretus	10096	PRJNA310854	310854	Animals	Mammals	2625.59	42.3292	GCA_001624865.1	chromosome 1:CM004094.1; chromosome 2:CM004095.1; chromosome 3:CM004096.1; chromosome 4:CM004097.1; chromosome 5:CM004098.1; chromosome 6:CM004099.1; chromosome 7:CM004100.1; chromosome 8:CM004101.1; chromosome 9:CM004102.1; chromosome 10:CM004103.1; chromosome 11:CM004105.1; chromosome 12:CM004106.1; chromosome 13:CM004107.1; chromosome 14:CM004108.1; chromosome 15:CM004109.1; chromosome 16:CM004110.1; chromosome 17:CM004111.1; chromosome 18:CM004112.1; chromosome 19:CM004113.1; chromosome X:CM004104.1; mitochondrion MT:CM004188.1	LVXV01	5404	-	-	2016/04/15	2016/04/25	Chromosome	Wellcome Trust Sanger Institute	SAMN04489830
Myodes glareolus	447135	PRJNA290429	290429	Animals	Mammals	3443.07	25.8	GCA_001305785.1	-	LIPI01	367242	-	-	2015/10/02	2016/07/08	Scaffold	University of Liverpool	SAMN03863713
Tupaia chinensis	246437	PRJNA169406	169406	Animals	Mammals	2846.58	42	GCA_000334495.1	-	ALAR01	50750	35882	36148	2013/01/28	2014/03/13	Scaffold	BGI	SAMN01084043
Poecilia formosa	48698	PRJNA237006	237006	Animals	Fishes	748.923	39.6	GCA_000485575.1	-	AYCK01	3985	31585	49495	2013/10/25	2014/08/11	Scaffold	NCBI	SAMN02981564
Astyanax mexicanus	7994	PRJNA237016	237016	Animals	Fishes	1335.24	38.409	GCA_000372685.2	chromosome 1:NC_035897.1/CM008300.1; chromosome 2:NC_035898.1/CM008301.1; chromosome 3:NC_035899.1/CM008302.1; chromosome 4:NC_035900.1/CM008303.1; chromosome 5:NC_035901.1/CM008304.1; chromosome 6:NC_035902.1/CM008305.1; chromosome 7:NC_035903.1/CM008306.1; chromosome 8:NC_035904.1/CM008307.1; chromosome 9:NC_035905.1/CM008308.1; chromosome 10:NC_035906.1/CM008309.1; chromosome 11:NC_035907.1/CM008310.1; chromosome 12:NC_035908.1/CM008311.1; chromosome 13:NC_035909.1/CM008312.1; chromosome 14:NC_035910.1/CM008313.1; chromosome 15:NC_035911.1/CM008314.1; chromosome 16:NC_035912.1/CM008315.1; chromosome 17:NC_035913.1/CM008316.1; chromosome 18:NC_035914.1/CM008317.1; chromosome 19:NC_035915.1/CM008318.1; chromosome 20:NC_035916.1/CM008319.1; chromosome 21:NC_035917.1/CM008320.1; chromosome 22:NC_035918.1/CM008321.1; chromosome 23:NC_035919.1/CM008322.1; chromosome 24:NC_035920.1/CM008323.1; chromosome 25:NC_035921.1/CM008324.1	APWO02	2415	30815	42649	2013/04/23	2017/09/25	Chromosome	NCBI	SAMN02981523
Stegastes partitus	144197	PRJNA251741	251741	Animals	Fishes	800.492	42.1	GCA_000690725.1	-	JMKM01	5818	24580	31597	2014/05/12	2014/05/13	Scaffold	NCBI	SAMN02743342
Cyprinodon variegatus	28743	PRJNA308224	308224	Animals	Fishes	1035.18	39.5001	GCA_000732505.1	mitochondrion MT:NC_028088.1/KT288182.1	JPKM01	9259	24878	36524	2014/07/17	2014/07/22	Scaffold	NCBI	SAMN02736898
Oncorhynchus kisutch	8019	PRJNA378663	378663	Animals	Fishes	2369.93	43.6225	GCA_002021735.1	linkage group LG1:NC_034174.1/CM007718.1; linkage group LG2:NC_034175.1/CM007719.1; linkage group LG3:NC_034176.1/CM007720.1; linkage group LG4:NC_034177.1/CM007721.1; linkage group LG5:NC_034178.1/CM007722.1; linkage group LG6:NC_034179.1/CM007723.1; linkage group LG7:NC_034180.1/CM007724.1; linkage group LG8:NC_034181.1/CM007725.1; linkage group LG9:NC_034182.1/CM007726.1; linkage group LG10:NC_034183.1/CM007727.1; linkage group LG11:NC_034184.1/CM007728.1; linkage group LG12:NC_034185.1/CM007729.1; linkage group LG13:NC_034186.1/CM007730.1; linkage group LG14:NC_034187.1/CM007731.1; linkage group LG15:NC_034188.1/CM007732.1; linkage group LG16:NC_034189.1/CM007733.1; linkage group LG17:NC_034190.1/CM007734.1; linkage group LG18:NC_034191.1/CM007735.1; linkage group LG19:NC_034192.1/CM007736.1; linkage group LG20:NC_034193.1/CM007737.1; linkage group LG21:NC_034194.1/CM007738.1; linkage group LG22:NC_034195.1/CM007739.1; linkage group LG23:NC_034196.1/CM007740.1; linkage group LG24:NC_034197.1/CM007741.1; linkage group LG25:NC_034198.1/CM007742.1; linkage group LG26:NC_034199.1/CM007743.1; linkage group LG27:NC_034200.1/CM007744.1; linkage group LG28:NC_034201.1/CM007745.1; linkage group LG29:NC_034202.1/CM007746.1; linkage group LG30:NC_034203.1/CM007747.1; mitochondrion MT:NC_009263.1/EF126369.1	MPKV01	22813	44786	57592	2017/03/06	2017/03/06	Chromosome	NCBI	SAMN05991263
Chlorocebus sabaeus	60711	PRJNA215854	215854	Animals	Mammals	2789.66	40.9303	GCA_000409795.2	chromosome 1:NC_023642.1/CM001941.2; chromosome 2:NC_023643.1/CM001942.1; chromosome 3:NC_023644.1/CM001943.2; chromosome 4:NC_023645.1/CM001944.2; chromosome 5:NC_023646.1/CM001945.1; chromosome 6:NC_023647.1/CM001946.1; chromosome 7:NC_023648.1/CM001947.1; chromosome 8:NC_023649.1/CM001948.2; chromosome 9:NC_023650.1/CM001949.2; chromosome 10:NC_023651.1/CM001950.2; chromosome 11:NC_023652.1/CM001952.2; chromosome 12:NC_023653.1/CM001953.2; chromosome 13:NC_023654.1/CM001954.1; chromosome 14:NC_023655.1/CM001955.2; chromosome 15:NC_023656.1/CM001956.2; chromosome 16:NC_023657.1/CM001957.1; chromosome 17:NC_023658.1/CM001958.2; chromosome 18:NC_023659.1/CM001959.2; chromosome 19:NC_023660.1/CM001960.2; chromosome 20:NC_023661.1/CM001961.2; chromosome 21:NC_023662.1/CM001962.2; chromosome 22:NC_023663.1/CM001963.2; chromosome 23:NC_023664.1/CM001964.1; chromosome 24:NC_023665.1/CM001965.2; chromosome 25:NC_023666.1/CM001966.2; chromosome 26:NC_023667.1/CM001967.1; chromosome 27:NC_023668.1/CM001968.1; chromosome 28:NC_023669.1/CM001969.1; chromosome 29:NC_023670.1/CM001970.2; chromosome X:NC_023671.1/CM001951.2; chromosome Y:NC_023672.1/CM001940.1; mitochondrion MT:NC_008066.1/DQ069713.1	AQIB01	2022	35027	61803	2013/05/17	2014/03/25	Chromosome	NCBI	SAMN01760484
Austrofundulus limnaeus	52670	PRJNA294420	294420	Animals	Fishes	866.963	41.1	GCA_001266775.1	-	LDAR01	29785	26706	35329	2015/07/28	2015/07/31	Scaffold	NCBI	SAMN03490872
Delphinapterus leucas	9749	PRJNA407951	407951	Animals	Mammals	2358.52	41.3	GCA_002288925.2	mitochondrion MT:NC_034236.1/KY444734.1	NQVZ01	6972	25391	49714	2017/09/11	2017/09/15	Scaffold	NCBI	SAMN06216270
Phodopus sungorus	10044	PRJNA318271	318271	Animals	Mammals	2003.23	41.3	GCA_001707965.1	-	MCBN01	1462128	-	-	2016/08/18	2016/08/18	Contig	University of Chicago	SAMN05191964
Macaca nemestrina	9545	PRJNA279145	279145	Animals	Mammals	2948.7	41.3	GCA_000956065.1	-	JZLF01	9733	37066	62876	2015/03/16	2015/03/19	Scaffold	NCBI	SAMN03121842
Geospiza fortis	48883	PRJNA217051	217051	Animals	Birds	1065.29	41.7	GCA_000277835.1	-	AKZB01	27239	14568	16724	2012/07/11	2016/11/17	Scaffold	NCBI	SAMN00839579
Cercocebus atys	9531	PRJNA279144	279144	Animals	Mammals	2848.25	41.1	GCA_000955945.1	-	JZLG01	11433	30650	65920	2015/03/16	2015/03/19	Scaffold	NCBI	SAMN03379531
Chelonia mydas	8469	PRJNA234097	234097	Animals	Reptiles	2208.41	43.7	GCA_000344595.1	mitochondrion MT:NC_000886.1/AB012104.1	AJIM01	140023	19323	20261	2013/03/01	2014/08/11	Scaffold	NCBI	SAMN02981410
Thunnus orientalis	8238	PRJDA68701	68701	Animals	Fishes	684.497	39.7	GCA_000418415.1	-	BADN01	133062	-	-	2013/06/27	2015/10/15	Contig	National Research Institute of Fisheries Science	SAMD00036584
Scartelaos histophorus	166764	PRJNA232437	232437	Animals	Fishes	695.009	39.1	GCA_000787155.1	-	JACN01	156044	-	-	2014/11/25	2014/12/03	Scaffold	BGI-shenzhen	SAMN03201693
Odobenus rosmarus divergens	9708	PRJNA167474	167474	Animals	Mammals	2400.15	41.7	GCA_000321225.1	mitochondrion MT:NC_004029.2/AJ428576.2	ANOP01	3893	25186	31370	2012/12/17	2015/04/20	Scaffold	Marine mammals	SAMN01180787
Orcinus orca	9733	PRJNA167475	167475	Animals	Mammals	2372.92	41.7	GCA_000331955.2	mitochondrion MT:NC_023889.1/GU187178.1	ANOL02	1668	22496	27870	2012/12/17	2015/04/20	Scaffold	Marine mammals	SAMN01180276
Numida meleagris	8996	PRJNA352321	352321	Animals	Birds	1043.26	41.8975	GCA_002078875.2	chromosome 1:NC_034409.1/CM007814.2; chromosome 2:NC_034410.1/CM007815.2; chromosome 3:NC_034411.1/CM007816.2; chromosome 4:NC_034412.1/CM007817.2; chromosome 5:NC_034413.1/CM007818.2; chromosome 6:NC_034414.1/CM007819.2; chromosome 7:NC_034415.1/CM007820.2; chromosome 8:NC_034416.1/CM007821.2; chromosome 9:NC_034417.1/CM007822.2; chromosome 10:NC_034418.1/CM007823.2; chromosome 11:NC_034419.1/CM007824.2; chromosome 12:NC_034420.1/CM007825.2; chromosome 13:NC_034421.1/CM007826.2; chromosome 14:NC_034422.1/CM007827.1; chromosome 15:NC_034423.1/CM007828.1; chromosome 16:NC_034424.1/CM007829.1; chromosome 17:NC_034425.1/CM007830.2; chromosome 18:NC_034426.1/CM007831.1; chromosome 19:NC_034427.1/CM007832.2; chromosome 20:NC_034428.1/CM007833.1; chromosome 21:NC_034429.1/CM007834.2; chromosome 22:NC_034430.1/CM007835.2; chromosome 23:NC_034431.1/CM007836.1; chromosome 24:NC_034432.1/CM007837.2; chromosome 25:NC_034433.1/CM007838.2; chromosome 26:NC_034434.1/CM007839.1; chromosome 27:NC_034435.1/CM007840.2; chromosome 31:NC_034436.1/CM007841.1; chromosome 32:NC_034437.1/CM007842.2; chromosome Z:NC_034438.1/CM007843.2; linkage group LGE64:NC_034439.1/CM007844.2; mitochondrion MT:NC_034374.1/KY865420.1	MTSP01	2739	21748	43240	2017/04/04	2017/04/04	Chromosome	INRA	SAMN05969731
Falco cherrug	345164	PRJNA217049	217049	Animals	Birds	1174.81	41.8	GCA_000337975.1	-	AKMU01	5863	15380	21235	2013/02/05	2014/08/11	Scaffold	NCBI	SAMN02981426
Vipera berus berus	31156	PRJNA170536	170536	Animals	Reptiles	1532.39	41.3	GCA_000800605.1	-	JTGP01	28883	-	-	2014/12/09	2014/12/10	Scaffold	BCM-HGSC	SAMN02780930
Phylloscopus trochilus acredula	209779	PRJNA319295	319295	Animals	Birds	1066.52	41.2	GCA_002305835.1	-	LXGM01	5995	-	-	2016/06/08	2016/06/08	Scaffold	Lund University	SAMN04881205
Sebastes nigrocinctus	72089	PRJNA171384	171384	Animals	Fishes	746.045	40.8	GCA_000475235.2	-	AUPR02	15872	-	-	2013/10/18	2016/12/21	Scaffold	USC	SAMN02981553
Pelodiscus sinensis	13735	PRJNA221645	221645	Animals	Reptiles	2202.48	44.4999	GCA_000230535.1	mitochondrion MT:NC_006132.1/AY687385.1	AGCU01	19904	21622	32888	2012/07/24	2014/08/11	Scaffold	NCBI	SAMN02981371
Acinonyx jubatus	32536	PRJNA305718	305718	Animals	Mammals	2372.55	41.4	GCA_001443585.1	mitochondrion MT:NC_005212.1/AF344830.1	LLWD01	14383	25029	27284	2015/11/13	2015/12/16	Scaffold	NCBI	SAMN04127588
Myotis davidii	225400	PRJNA232515	232515	Animals	Mammals	2059.8	43.1	GCA_000327345.1	-	ALWT01	101769	26055	33106	2012/12/17	2013/11/06	Scaffold	NCBI	SAMN01103204
Poecilia mexicana	48701	PRJNA305619	305619	Animals	Fishes	801.711	40.7	GCA_001443325.1	-	LMXC01	18105	30746	47406	2015/11/12	2015/11/13	Scaffold	NCBI	SAMN02048972
Labrus bergylta	56723	PRJEB13687	320367	Animals	Fishes	805.481	40.9	GCA_900080235.1	-	FKLU01	13466	28378	35873	2016/05/03	2016/05/03	Scaffold	National Institute of nutrition and seafood research	SAMEA3939555
Lipotes vexillifer	118797	PRJNA174066	174066	Animals	Mammals	2429.21	41.4	GCA_000442215.1	mitochondrion MT:NC_007629.1/AY789529.1	AUPI01	30713	25232	26901	2013/07/24	2014/08/06	Scaffold	BGI	SAMN02953859
Hipposideros armiger	186990	PRJNA357596	357596	Animals	Mammals	2236.58	42.2	GCA_001890085.1	mitochondrion MT:NC_018540.1/JN980966.1	JXIK01	7571	25449	45831	2016/12/06	2016/12/06	Scaffold	NCBI	SAMN03177460
Pseudopodoces humilis	181119	PRJNA217046	217046	Animals	Birds	1043	41.8001	GCA_000331425.1	mitochondrion MT:NC_014341.1/HM535648.1	ANZD01	5406	16561	27572	2013/01/09	2014/08/11	Scaffold	NCBI	SAMN02981490
Amazona vittata	241585	PRJNA171587	171587	Animals	Birds	1175.4	41.7	GCA_000332375.1	-	AOCU01	182974	-	-	2013/01/18	2014/08/11	Scaffold	Puerto Rican Parrot Genome Project	SAMN02981494
Leuciscus waleckii	155063	PRJEB12292	320706	Animals	Fishes	752.539	37.4	GCA_900092035.1	-	FLSR01	4888	-	-	2016/06/27	2016/06/27	Scaffold	CHINESE ACADEMY OF FISHERY SCIENCE	SAMEA3723233
Apalone spinifera	55534	PRJNA177958	177958	Animals	Reptiles	1931.08	42.8	GCA_000385615.1	-	APJP01	286620	-	-	2013/04/26	2014/08/26	Scaffold	WUGSC	SAMN03004388
Xiphophorus hellerii	8084	PRJNA290782	290782	Animals	Fishes	733.802	41.2	GCA_001443345.1	-	LNCB01	25	-	-	2015/11/13	2015/11/13	Scaffold	McDonnell Genome Institute - Washington University School of Medicine	SAMN03968850
Clupea harengus	7950	PRJNA286317	286317	Animals	Fishes	807.712	44.5001	GCA_000966335.1	mitochondrion MT:NC_009577.1/AP009133.1	JZKK01	6915	25434	28335	2015/03/30	2015/03/30	Scaffold	NCBI	SAMN03154066
Crotalus horridus	35024	PRJNA181087	181087	Animals	Reptiles	1520.33	34.3	GCA_001625485.1	-	LVCR01	186068	-	-	2016/04/21	2016/04/21	Scaffold	Timber Rattlesnake Genome	SAMN01815951
Thamnophis sirtalis	35019	PRJNA294278	294278	Animals	Reptiles	1424.9	41.8	GCA_001077635.2	-	LFLD01	7930	20101	25180	2015/06/26	2015/06/30	Scaffold	NCBI	SAMN03759628
