Organism	TaxID	BioProject Accession	BioProject ID	Assembly Accession	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Cariama cristata	54380	PRJNA263623	263623	GCA_000690535.1	JJRQ01	53474	15124	16125	05/05/2014	17/11/2016	Scaffold	NCBI	SAMN02318733
Colius striatus	57412	PRJNA265879	265879	GCA_000690715.1	JJRP01	70188	15009	15797	05/05/2014	17/11/2016	Scaffold	NCBI	SAMN02324230
Eurypyga helias	54383	PRJNA265393	265393	GCA_000690775.1	JJRO01	62699	14812	15656	05/05/2014	17/11/2016	Scaffold	NCBI	SAMN02324546
Fulmarus glacialis	30455	PRJNA261828	261828	GCA_000690835.1	JJRN01	57389	15228	16240	03/05/2014	17/11/2016	Scaffold	NCBI	SAMN02324803
Haliaeetus albicilla	8969	PRJNA263514	263514	GCA_000691405.1	JJRL01	50905	15162	19224	02/05/2014	17/11/2016	Scaffold	NCBI	SAMN02333670
Merops nubicus	57421	PRJNA253837	253837	GCA_000691845.1	JJRJ01	53499	14658	15431	01/05/2014	17/11/2016	Scaffold	NCBI	SAMN02338310
Opisthocomus hoazin	30419	PRJNA263612	263612	GCA_000692075.1	JMFL01	10256	13615	14878	13/05/2014	17/11/2016	Scaffold	NCBI	SAMN02302474
Leptosomus discolor	188344	PRJNA263616	263616	GCA_000691785.1	JJRK01	57160	15300	16371	02/05/2014	17/11/2016	Scaffold	NCBI	SAMN02333687
Acanthisitta chloris	57068	PRJNA253841	253841	GCA_000695815.1	JJRS01	53875	15175	16077	06/05/2014	17/11/2016	Scaffold	NCBI	SAMN02318032
Mesitornis unicolor	54374	PRJNA265381	265381	GCA_000695765.1	JJRI01	67520	15719	16646	01/05/2014	17/11/2016	Scaffold	NCBI	SAMN02339298
Corvus brachyrhynchos	85066	PRJNA253849	253849	GCA_000691975.1	JMFN01	10547	19146	29421	13/05/2014	17/11/2016	Scaffold	NCBI	SAMN02297499
Picoides pubescens	118200	PRJNA263502	263502	GCA_000699005.1	JJRU01	31254	14443	15826	06/05/2014	17/11/2016	Scaffold	NCBI	SAMN02314405
Pterocles gutturalis	240206	PRJNA265368	265368	GCA_000699245.1	JMFR01	58607	14969	15872	07/05/2014	17/11/2016	Scaffold	NCBI	SAMN02339892
Antrostomus carolinensis	279965	PRJNA265383	265383	GCA_000700745.1	JMFU01	70122	15541	16463	08/05/2014	17/11/2016	Scaffold	NCBI	SAMN02318612
Aptenodytes forsteri	9233	PRJNA261081	261081	GCA_000699145.1	JMFQ01	10672	15366	19104	07/05/2014	17/11/2016	Scaffold	NCBI	SAMN02596600
Charadrius vociferus	50402	PRJNA263452	263452	GCA_000708025.2	JMFX02	15167	14731	16428	09/05/2014	17/11/2016	Scaffold	NCBI	SAMN02296710
Apaloderma vittatum	57397	PRJNA263608	263608	GCA_000703405.1	JMFV01	54728	14490	15288	08/05/2014	17/11/2016	Scaffold	NCBI	SAMN02318033
Cuculus canorus	55661	PRJNA263299	263299	GCA_000709325.1	JNOX01	14930	15045	16796	12/06/2014	17/11/2016	Scaffold	NCBI	SAMN02298149
Phalacrocorax carbo	9209	PRJNA261839	261839	GCA_000708925.1	JMFI01	64312	14501	15339	12/05/2014	17/11/2016	Scaffold	NCBI	SAMN02339889
Tauraco erythrolophus	121530	PRJNA265115	265115	GCA_000709365.1	JNOY01	59587	15059	16054	12/06/2014	17/11/2016	Scaffold	NCBI	SAMN02339893
Tinamus guttatus	94827	PRJNA265201	265201	GCA_000705375.2	JMFW02	82514	16739	17873	08/05/2014	17/11/2016	Scaffold	NCBI	SAMN02316659
Buceros rhinoceros silvestris	175836	PRJNA266010	266010	GCA_000710305.1	JMFK01	62257	14483	15510	02/06/2014	17/11/2016	Scaffold	NCBI	SAMN02318191
Haliaeetus leucocephalus	52644	PRJNA269279	269279	GCA_000737465.1	JPRR01	1023	15817	25265	04/08/2014	04/08/2014	Scaffold	NCBI	SAMN02664716
Nestor notabilis	176057	PRJNA264990	264990	GCA_000696875.1	JJRH01	42180	14860	15873	01/05/2014	17/11/2016	Scaffold	NCBI	SAMN02339299
Chaetura pelagica	8897	PRJNA264987	264987	GCA_000747805.1	AVOS01	19072	14343	15942	04/09/2014	17/11/2016	Scaffold	NCBI	SAMN03018471
Mus caroli	10089	PRJEB14895	360714	GCA_900094665.2	FMAL02	3163	28755	37588	10/01/2017	26/04/2017	Chromosome	EBI	SAMEA3367631
Chlamydotis macqueenii	187382	PRJNA266006	266006	GCA_000695195.1	JMFJ01	59693	14765	15683	12/05/2014	17/11/2016	Scaffold	NCBI	SAMN02324157
Cyprinodon nevadensis pectoralis	69242	PRJNA254053	254053	GCA_000776015.1	JSUU01	96516	-	-	13/11/2014	13/11/2014	Scaffold	University of Colorado, Boulder	SAMN03072616
Periophthalmus magnuspinnatus	409849	PRJNA232435	232435	GCA_000787105.1	JACL01	26060	-	-	25/11/2014	03/12/2014	Scaffold	BGI-shenzhen	SAMN03201694
Periophthalmodon schlosseri	1365757	PRJNA232436	232436	GCA_000787095.1	JACM01	46662	-	-	25/11/2014	03/12/2014	Scaffold	BGI-Shenzhen	SAMN03201695
Pseudopleuronectes yokohamae	245875	PRJDB3259	268070	GCA_000787555.1	BBOV01	525502	-	-	21/11/2014	25/08/2015	Contig	Tohoku university	SAMD00021058
Nanorana parkeri	125878	PRJNA344660	344660	GCA_000935625.1	JYOU01	25188	21171	24758	02/03/2015	02/03/2015	Scaffold	NCBI	SAMN02720813
Marmota marmota marmota	9994	PRJEB8272	274843	GCA_001458135.1	CZRN01	14543	27711	31750	06/11/2015	06/11/2015	Scaffold	MRC NATIONAL INSTITUTE FOR MEDICAL RESEARCH	SAMEA3214822
Mandrillus leucophaeus	9568	PRJNA279492	279492	GCA_000951045.1	JYKQ01	12821	27823	38336	11/03/2015	12/03/2015	Scaffold	NCBI	SAMN03121813
Colobus angolensis palliatus	336983	PRJNA279495	279495	GCA_000951035.1	JYKR01	13124	27816	38656	11/03/2015	12/03/2015	Scaffold	NCBI	SAMN03121814
Manis javanica	9974	PRJNA335369	335369	GCA_001685135.1	JSZB01	80670	25268	41843	14/07/2016	14/07/2016	Scaffold	NCBI	SAMN02935387
Sinocyclocheilus anshuiensis	1608454	PRJNA316320	316320	GCA_001515605.1	LAVE01	85682	50985	68474	14/12/2015	04/01/2016	Scaffold	NCBI	SAMN03320099
Sinocyclocheilus rhinocerous	307959	PRJNA316320	316320	GCA_001515625.1	LAVF01	164173	52111	68562	14/12/2015	04/01/2016	Scaffold	NCBI	SAMN03320098
Spermophilus dauricus	99837	PRJNA215874	215874	GCA_002406435.1	AXRT01	360804	-	-	28/09/2017	03/10/2017	Scaffold	BGI-shenzhen	SAMN07711139
Sebastes minor	214483	PRJNA236304	236304	GCA_001910765.1	LHCJ01	166448	-	-	20/12/2016	21/12/2016	Scaffold	USC	SAMN03354192
Sebastes steindachneri	201708	PRJNA236323	236323	GCA_001910785.1	LCWK01	279232	-	-	20/12/2016	21/12/2016	Scaffold	USC	SAMN03579458
Eulemur macaco	30602	PRJNA284191	284191	GCA_001262655.1	LGHX01	26772	-	-	06/08/2015	02/09/2015	Scaffold	University of Chicago	SAMN03699689
Eulemur flavifrons	87288	PRJNA284191	284191	GCA_001262665.1	LGHW01	38367	-	-	06/08/2015	02/09/2015	Scaffold	University of Chicago	SAMN03699688
Zosterops lateralis melanops	1220523	PRJNA277310	277310	GCA_001281735.1	LAII01	2933	-	-	14/09/2015	14/09/2015	Scaffold	Imperial College London	SAMN03389315
Pantherophis guttatus	94885	PRJNA268069	268069	GCA_001185365.1	JTLQ01	883920	-	-	21/07/2015	21/07/2015	Scaffold	University of Geneva	SAMN03202658
Apodemus sylvaticus	10129	PRJNA290427	290427	GCA_001305905.1	LIPJ01	559629	-	-	02/10/2015	02/10/2015	Scaffold	University of Liverpool	SAMN03863808
Microtus agrestis	29092	PRJNA290426	290426	GCA_001305995.1	LIQJ01	230202	-	-	02/10/2015	02/10/2015	Scaffold	University of Liverpool	SAMN03863806
Gekko japonicus	146911	PRJNA308133	308133	GCA_001447785.1	LNDG01	191500	21426	24464	24/11/2015	25/11/2015	Scaffold	NCBI	SAMN04157958
Amazona aestiva	12930	PRJNA294082	294082	GCA_001420675.1	LMAW01	3232	16307	16144	30/10/2015	30/10/2015	Scaffold	LNCC	SAMN04014659
Sturnus vulgaris	9172	PRJNA304638	304638	GCA_001447265.1	LNCF01	2361	16813	26611	20/11/2015	20/11/2015	Scaffold	NCBI	SAMN04029017
Cottus rhenanus	446433	PRJNA297779	297779	GCA_001455555.1	LKTN01	164693	-	-	02/12/2015	02/12/2015	Scaffold	Cold Spring Harbor Laboratory	SAMN04145896
Lonchura striata domestica	299123	PRJNA391487	391487	GCA_002197715.1	MUZQ01	3014	17483	31410	19/06/2017	19/06/2017	Scaffold	NCBI	SAMN06283872
Callipepla squamata	9009	PRJNA301734	301734	GCA_002218305.1	MCFN01	34302	17131	17131	13/07/2017	20/07/2017	Scaffold	Texas A&M University	SAMN04255336
Miniopterus natalensis	291302	PRJNA317472	317472	GCA_001595765.1	LDJU01	1269	22891	29787	22/03/2016	22/03/2016	Scaffold	NCBI	SAMN03652541
Nannopterum brasilianus	37046	PRJNA327123	327123	GCA_002174335.1	NFME01	266364	-	-	06/06/2017	06/06/2017	Scaffold	UCLA	SAMN06832916
Lepidothrix coronata	321398	PRJNA338288	338288	GCA_001604755.1	LVWP01	4612	18695	36671	31/03/2016	31/03/2016	Scaffold	NCBI	SAMN04274560
Cebus capucinus imitator	1737458	PRJNA328123	328123	GCA_001604975.1	LVWQ01	7156	36983	53175	31/03/2016	04/04/2016	Scaffold	NCBI	SAMN04522148
Phylloscopus plumbeitarsus	56441	PRJNA314915	314915	GCA_001655115.1	LXOY01	308480	-	-	02/06/2016	02/06/2016	Scaffold	University of British Columbia	SAMN04545452
Carlito syrichta	1868482	PRJNA20339	20339	GCA_000164805.2	ABRT02	337189	25660	33081	10/09/2013	04/08/2014	Scaffold	Washington University (WashU)	SAMN02445010
Ellobius talpinus	329620	PRJNA305123	305123	GCA_001685095.1	LOJH01	350460	-	-	14/07/2016	14/07/2016	Scaffold	Erasmus medical center (ErasmusMC)	SAMN04317029
Malaclemys terrapin terrapin	391341	PRJNA339452	339452	GCA_001728815.2	MDXI01	21684	13	13	15/09/2016	15/09/2016	Contig	University of Maryland	SAMN05591378
Setophaga coronata coronata	1037456	PRJNA325157	325157	GCA_001746935.1	MDLI01	154686	-	-	27/09/2016	27/09/2016	Scaffold	Cornell University	SAMN05224218
Tympanuchus cupido pinnatus	211916	PRJNA330991	330991	GCA_001870855.1	MOXI01	12186	-	-	07/11/2016	07/11/2016	Scaffold	Revive & Restore Heath Hen De-extinction Team	SAMN05433571
Rhinolophus sinicus	89399	PRJNA358073	358073	GCA_001888835.1	LVEH01	63439	27500	47594	04/12/2016	04/12/2016	Scaffold	NCBI	SAMN04038064
Patagioenas fasciata monilis	372326	PRJNA308039	308039	GCA_002029285.1	LSYS01	9784	19528	24805	15/03/2017	15/03/2017	Scaffold	University of California, Santa Cruz	SAMN04386172
Mus pahari	10093	PRJEB14896	360715	GCA_900095145.2	FMBV02	2581	26179	36170	10/01/2017	26/04/2017	Chromosome	EBI	SAMEA3367645
Sporophila hypoxantha	256693	PRJNA382416	382416	GCA_002167245.1	NDFG01	5095	-	-	05/06/2017	05/06/2017	Scaffold	Cornell University	SAMN06754710
Nannopterum harrisi	473964	PRJNA327123	327123	GCA_002173475.1	NEVG01	2651	-	-	06/06/2017	06/06/2017	Scaffold	UCLA	SAMN05301669
Nannopterum auritus	56069	PRJNA327123	327123	GCA_002173455.1	NFMC01	27523	-	-	06/06/2017	06/06/2017	Scaffold	UCLA	SAMN06226698
Psammomys obesus	48139	PRJNA355058	355058	GCA_002215935.1	NESX01	96427	-	-	07/07/2017	07/07/2017	Contig	Department of Zoology, University of Oxford, UK	SAMN06061930
Anas zonorhyncha	75864	PRJNA392350	392350	GCA_002224875.1	NOIK01	20089	-	-	25/07/2017	25/07/2017	Scaffold	BGI	SAMN07337763
Crotalus pyrrhus	384069	PRJNA255393	255393	GCA_000737285.1	JPMF01	473380	-	-	01/08/2014	12/11/2014	Scaffold	Reed College	SAMN02918464
Uria lomvia	28711	PRJNA395774	395774	GCA_002289315.1	NOXD01	9327	-	-	11/09/2017	12/09/2017	Scaffold	Queen's University	SAMN07414775
Apodemus speciosus	105296	PRJDB5914	396846	GCA_002335545.1	BDUI01	336124	-	-	01/08/2017	01/08/2017	Scaffold	University of the Ryukyus	SAMD00084465
Strix occidentalis caurina	311401	PRJNA338167	338167	GCA_002372975.1	NIFN01	8108	-	-	26/09/2017	26/09/2017	Scaffold	California Academy of Sciences	SAMN05525316
Anser cygnoides	8845	PRJNA253976	253976	GCA_002166845.1	LABU01	1801	-	-	02/06/2017	05/06/2017	Scaffold	Poultry Science Institute	SAMN02898389
Vicugna pacos huacaya	273913	PRJNA233565	233565	GCA_000767525.1	JEMW01	52275	-	-	20/10/2014	11/02/2015	Scaffold	BGI-Shenzhen	SAMN02996813
Ovis aries musimon	9938	PRJNA276576	276576	GCA_000765115.1	CBYI01	6173	28073	53571	11/07/2014	30/01/2015	Scaffold	NCBI	SAMEA3146279
Mus musculus musculus	39442	PRJNA310854	310854	GCA_001624775.1	LVXU01	3140	-	-	15/04/2016	25/04/2016	Chromosome	Wellcome Trust Sanger Institute	SAMN04489829
Mus musculus domesticus	10092	PRJNA310854	310854	GCA_001624835.1	LVXW01	2239	-	-	15/04/2016	25/04/2016	Chromosome	Wellcome Trust Sanger Institute	SAMN04489831
Giraffa camelopardalis tippelskirchi	439328	PRJNA313910	313910	GCA_001651235.1	LVKQ01	513177	-	-	20/05/2016	07/06/2016	Scaffold	Pennsylvania State University	SAMN04526126
Ailuropoda melanoleuca	9646	PRJNA299083	299083	GCA_002007445.1	LNAT01	57414	-	-	28/02/2017	28/02/2017	Scaffold	Institute of Zoology, Chinese Academy of Sciences	SAMN04193337
Alligator mississippiensis	8496	PRJNA305630	305630	GCA_001541155.1	LPUV01	7091	-	-	26/01/2016	26/01/2016	Scaffold	Dovetail Genomics	SAMN02981418
Ambystoma mexicanum	8296	PRJNA378970	378970	GCA_002915635.1	PGSH01	125724	-	-	05/02/2018	05/02/2018	Scaffold	Max Planck Society	SAMN06554622
Anas platyrhynchos	8839	PRJNA46621	46621	GCA_000355885.1	ADON01	78488	21727	30493	02/04/2013	17/06/2013	Scaffold	State Key Laboratory for Agrobiotechnology, China Agricultural University, Beijing	SAMN00011637
Anguilla japonica	7937	PRJNA158309	158309	GCA_000470695.1	AVPY01	323740	-	-	12/09/2013	26/08/2014	Scaffold	ZF-screens B.V.	SAMN03004389
Aquila chrysaetos canadensis	216574	PRJNA277694	277694	GCA_000766835.1	JRUM01	1142	17520	31284	12/10/2014	14/10/2014	Scaffold	NCBI	SAMN03079786
Ara macao	176014	PRJNA189648	189648	GCA_000400695.1	AOUJ01	192790	-	-	20/05/2013	21/08/2014	Scaffold	Texas A&M University	SAMN03000706
Bos indicus	9915	PRJNA360096	360096	GCA_000247795.2	AGFL01	32	26205	35992	16/02/2012	25/11/2014	Chromosome	NCBI	SAMN02953802
Bos mutus	72004	PRJNA74739	74739	GCA_000298355.1	AGSK01	41192	25577	28881	21/05/2012	01/11/2013	Scaffold	BGI-shenzhen	SAMN00744358
Bubalus bubalis	89462	PRJNA223666	223666	GCA_000471725.1	AWWX01	366983	28453	41499	27/09/2013	30/09/2013	Scaffold	NCBI	SAMN02191888
Calidris pugnax	198806	PRJNA305421	305421	GCA_001431845.1	LDEH01	3753	18583	30889	04/11/2015	04/11/2015	Scaffold	NCBI	SAMN03491621
Callithrix jacchus	9483	PRJNA20401	20401	GCA_000004665.1	ACFV01	16399	35188	45251	21/01/2010	11/08/2014	Chromosome	Washington University (WashU)	SAMN02981242
Calypte anna	9244	PRJNA253828	253828	GCA_000699085.1	JJRV01	54736	14812	16329	06/05/2014	17/11/2016	Scaffold	NCBI	SAMN02265252
Camelus bactrianus	9837	PRJNA269612	269612	GCA_000767855.1	JARL01	35455	24287	28601	16/10/2014	23/10/2014	Scaffold	NCBI	SAMN02953968
Camelus dromedarius	9838	PRJNA269274	269274	GCA_000803125.1	JWIN01	35752	-	-	17/12/2014	17/12/2014	Scaffold	Vetmeduni Vienna	SAMN03252735
Canis lupus familiaris	9615	PRJNA13179	13179	GCA_000002285.2	AAEX03	3310	36809	58776	10/07/2004	06/08/2014	Chromosome	Dog Genome Sequencing Consortium	SAMN02953603
Capra aegagrus	9923	PRJNA261263	261263	GCA_000978405.1	JXYW01	89498	-	-	21/04/2015	24/04/2015	Chromosome	BGI	SAMN03282421
Capra hircus	9925	PRJNA340281	340281	GCA_001704415.1	LWLT01	29907	28404	42687	12/08/2016	24/08/2016	Chromosome	NCBI	SAMN03863711
Castor canadensis	51338	PRJNA371604	371604	GCA_001984765.1	MTKA01	21157	27186	37422	04/02/2017	04/02/2017	Scaffold	NCBI	SAMN06187566
Colinus virginianus	9014	PRJNA188411	188411	GCA_000599485.1	AWGU01	374224	-	-	20/03/2014	11/08/2014	Scaffold	Texas A&M University	SAMN02981558
Columba livia	8932	PRJNA217047	217047	GCA_000337935.1	AKCR01	14923	26430	32508	04/02/2013	13/12/2017	Scaffold	NCBI	SAMN02981415
Corvus cornix cornix	932674	PRJNA192205	192205	GCA_000738735.2	JPSR02	113	17215	29588	04/08/2014	08/03/2017	Scaffold	Uppsala University	SAMN02143031
Coturnix japonica	93934	PRJNA314147	314147	GCA_001577835.1	LSZS01	2531	20441	39088	24/02/2016	01/03/2016	Chromosome	NCBI	SAMN03989050
Cricetulus griseus	10029	PRJNA69991	69991	GCA_000223135.1	AFTD01	109152	27752	34935	03/08/2011	11/08/2014	Scaffold	Beijing Genomics Institute	SAMN02981352
Crocodylus porosus	8502	PRJNA357059	357059	GCA_001723895.1	MDVP01	70	19551	28676	13/09/2016	13/09/2016	Scaffold	NCBI	SAMN03102602
Cyprinus carpio	7962	PRJNA352247	352247	GCA_000951615.2	-	9378	66544	62491	11/09/2014	28/01/2016	Chromosome	NCBI	SAMEA2757102
Danio rerio	7955	PRJNA11776	11776	GCA_000002035.4	-	2848	46998	57100	05/07/2005	25/01/2018	Chromosome	Genome Reference Consortium	SAMN06930106
Dicentrarchus labrax	13489	PRJEB5099	243422	GCA_000689215.1	CBXY01	25	-	-	07/04/2014	05/03/2015	Scaffold	MPI-PZ	SAMEA3271076
Ellobius lutescens	39086	PRJNA305123	305123	GCA_001685115.1	LOJG01	413500	-	-	14/07/2016	14/07/2016	Scaffold	Erasmus medical center (ErasmusMC)	SAMN04317028
Equus caballus	9796	PRJNA18661	18661	GCA_000002305.1	AAWR02	9688	-	-	24/01/2007	06/08/2014	Chromosome	The Genome Assembly Team	SAMN02953672
Erinaceus europaeus	9365	PRJNA74585	74585	GCA_000296755.1	AMDU01	5803	22541	29382	10/09/2012	01/11/2013	Scaffold	Broad Institute	SAMN00760989
Eschrichtius robustus	9764	PRJNA384396	384396	GCA_002189225.1	NIPP01	57203	-	-	09/06/2017	09/06/2017	Scaffold	Purdue University	SAMN06837692
Falco peregrinus	8954	PRJNA347893	347893	GCA_001887755.1	MLQY01	72	-	-	29/11/2016	02/12/2016	Chromosome	Royal Veterinary College	SAMN02981425
Felis catus	9685	PRJNA16726	16726	GCA_000181335.4	AANG04	4525	13	13	27/04/2006	20/11/2017	Chromosome	International Cat Genome Sequencing Consortium	SAMN02953640
Gallus gallus	9031	PRJNA13342	13342	GCA_000002315.3	AADN04	23870	25062	46393	29/02/2004	04/01/2016	Chromosome	Genome Reference Consortium	SAMN02981218
Gorilla gorilla gorilla	9595	PRJEB10880	314199	GCA_900006655.3	CYUI03	15745	-	-	04/03/2016	16/04/2016	Chromosome	UNIVERSITY OF WASHINGTON	SAMEA3541598
Heterocephalus glaber	10181	PRJNA72441	72441	GCA_000247695.1	AHKG01	4229	37344	60814	15/02/2012	18/02/2015	Scaffold	Broad Institute	SAMN00714537
Ictidomys tridecemlineatus	43179	PRJNA61725	61725	GCA_000236235.1	AGTP01	12483	25998	38592	25/11/2011	01/11/2013	Scaffold	Broad Institute	SAMN00210855
Kryptolebias marmoratus	37003	PRJNA326783	326783	GCA_001649575.1	LWHD01	3073	23485	38516	22/05/2016	22/05/2016	Scaffold	NCBI	SAMN04622665
Larimichthys crocea	215358	PRJNA354443	354443	GCA_000972845.1	JRPU01	6014	27103	41060	16/04/2015	21/04/2015	Scaffold	NCBI	SAMN03092871
Lates calcarifer	8187	PRJNA345597	345597	GCA_001640805.1	LLXD01	3808	30224	45223	09/05/2016	09/05/2016	Scaffold	NCBI	SAMN04026617
Latimeria chalumnae	7897	PRJNA56111	56111	GCA_000225785.1	AFYH01	22819	26117	34251	09/09/2011	06/11/2013	Scaffold	Broad Institute	SAMN00138723
Lycaon pictus	9622	PRJNA304992	304992	GCA_001883655.1	LPRA01	813	-	-	18/11/2016	01/12/2016	Chromosome	Smithsonian Institution	SAMN04312209
Macaca mulatta	9544	PRJNA214746	214746	GCA_000772875.3	JSUE03	286263	33218	55366	04/11/2014	30/11/2015	Chromosome	Baylor College of Medicine Genome Sequencing Center	-
Manacus vitellinus	328815	PRJNA253835	253835	GCA_000692015.2	JMFM02	92755	15177	12843	13/05/2014	17/11/2016	Scaffold	NCBI	SAMN02299332
Mustela putorius furo	9669	PRJNA59869	59869	GCA_000215625.1	AEYP01	7783	27321	48107	01/06/2011	04/08/2014	Scaffold	Ferret Genome Sequencing Consortium	SAMN00149631
Nothobranchius furzeri	105023	PRJEB5837	304522	GCA_001465895.2	CCSH01	6013	25026	36873	01/12/2015	02/02/2016	Chromosome	LEIBNIZ INSTITUTE FOR AGE RESEARCH - FRITZ LIPMANN	SAMEA2698544
Ochotona princeps	9978	PRJNA74593	74593	GCA_000292845.1	ALIT01	10421	21374	25691	13/08/2012	01/11/2013	Scaffold	Broad Institute	SAMN00767999
Oncorhynchus mykiss	8022	PRJNA390662	390662	GCA_002163495.1	MSJN01	139800	51001	71266	31/05/2017	02/06/2017	Chromosome	NCBI	SAMN05449231
Oreochromis niloticus	8128	PRJNA354796	354796	GCA_001858045.2	MKQE01	2567	37427	58088	31/10/2016	21/11/2016	Chromosome	NCBI	SAMN05859795
Ornithorhynchus anatinus	9258	PRJNA12885	12885	GCF_000002275.2	AAPN01	200283	22225	24786	10/04/2006	06/08/2014	Chromosome	Washington University (WashU)	SAMN02953646
Oryzias latipes	8090	PRJNA325079	325079	GCA_002234675.1	-	25	26846	44766	22/12/2012	15/02/2018	Chromosome	The University of Tokyo	SAMN06689957
Ovis aries	9940	PRJNA179263	179263	GCA_000298735.2	AMGL02	5466	29110	43046	21/09/2012	20/11/2015	Chromosome	NCBI	SAMN00116405
Paralichthys olivaceus	8255	PRJNA369269	369269	GCA_001970005.2	MPLB01	9525	24567	36123	24/01/2017	24/01/2017	Scaffold	NCBI	SAMN05817825
Petromyzon marinus	7757	PRJNA357048	357048	GCA_002833325.1	PIZI01	12061	-	-	11/12/2017	11/12/2017	Scaffold	University of Kentucky	SAMN06131802
Pongo abelii	9601	PRJNA20869	20869	GCA_000001545.3	ABGA01	79345	-	-	14/11/2007	11/08/2014	Chromosome	Orangutan Genome Sequencing Consortium	SAMN02981238
Rattus norvegicus	10116	PRJNA10629	10629	GCA_000001895.4	AABR07	1395	39365	56113	27/11/2002	01/07/2014	Chromosome	Rat Genome Sequencing Consortium	SAMN02808228
Sarcophilus harrisii	9305	PRJNA51853	51853	GCA_000189315.1	AEFK01	35974	23887	30037	09/02/2011	06/08/2014	Scaffold	Wellcome Trust Sanger Institute	SAMN02953780
Scleropages formosus	113540	PRJNA347920	347920	GCA_001624265.1	LGSG01	4819	24709	41445	19/04/2016	08/11/2016	Scaffold	NCBI	SAMN03894411
Sus scrofa	9823	PRJNA13421	13421	GCA_000003025.6	AEMK02	706	30173	63577	11/07/2008	06/12/2016	Chromosome	The Swine Genome Sequencing Consortium (SGSC)	SAMN02953785
Taeniopygia guttata	59729	PRJNA17289	17289	GCA_000151805.2	ABQF01	37422	17357	19447	03/09/2008	11/08/2014	Chromosome	Washington University Genome Sequencing Center	SAMN02981239
Tursiops truncatus	9739	PRJNA359990	359990	GCA_001922835.1	MRVK01	2648	23994	38849	28/12/2016	28/12/2016	Scaffold	NCBI	SAMN06114300
Xiphophorus maculatus	8083	PRJNA72525	72525	GCA_000241075.1	AGAJ01	20632	-	-	03/01/2012	11/08/2014	Scaffold	The Genome Institute,  Washington University at St. Louis	SAMN02981361
Zonotrichia albicollis	44394	PRJNA217032	217032	GCA_000385455.1	ARWJ01	6018	15943	23892	26/04/2013	11/08/2014	Scaffold	NCBI	SAMN02981528
Physeter catodon	9755	PRJNA434122	434122	GCA_002837175.1	PGGR01	59238	26942	38099	12/12/2017	12/12/2017	Scaffold	NCBI	SAMN07836523
Ficedula albicollis	59894	PRJNA208061	208061	GCA_000247815.2	AGTO02	21836	16785	26464	30/11/2012	11/08/2014	Chromosome	NCBI	SAMN02981387
